Subtância,Substance,Sustancia,Massa Molar (g/mol),Pc (KPa),Tc (K),Fator acentrico (w)
METANO,METHANE,METANO,"16,04",4641,"190,55","0,0115"
ETANO,ETHANE,ETANO,"30,07",4884,305,"0,0986"
CO2,CO2,CO2,"44,01",7370,"304,13","0,2389"
N2,N2,N2,"28,01",3394,130,"0,0400"
PROPANO,PROPANE,PROPANO,"44,1",4257,"369,75","0,1524"
N-BUTANO,N-BUTANE,N-BUTANO,"58,12",3797,425,"0,2010"
H2S,H2S,H2S,"34,08",9008,"373,65","0,0810"
N-PENTANO,N-PENTANE,N-PENTANO,"72,15","3419,72","469,5","0,2539"
N-HEXANO,N-HEXANE,N-HEXANO,"86,18","3072,17","507,7","0,3007"
N-HEPTANO,N-HEPTANE,N-HEPTANO,"100,21","2773,27","540,0","0,3498"
N-OCTANO,N-OCTANE,N-OCTANO,"114,23","2530,09","568,4","0,4018"
N-NONANO,N-NONANE,N-NONANO,"128,2","2330,48","594,4","0,4455"
N-DECANO,N-DECAN,N-DECANO,"170,33","2135,93","617,4","0,4885"
N-PENTADECANO,N-PENTADECAN,N-PENTADECANO,"212,42","1537,10","706,9","0,7060"
CICLOHEXANO,CYCLOHEXANE,CICLO-HEXANO,"84,16","4106,70","553,1","0,2133"
BENZENO,BENZENE,BENCENO,"78,11","4989,24","561,9","0,2150"
TOLUENO,TOLUENE,TOLUENO,"92,14","4154,33","591,6","0,2596"
ÁGUA PURA,PURE WATER,AGUA PURA,"18,01528","22413,09","647,1","0,3440"
GÁS OXIGÊNIO,OXYGEN GAS,GAS OXIGENO,"15,999","5147,31","154,6","0,0190"
ARGÔNIO,ARGON,ARGÓN,"39,948","4928,45","150,6","-0,0040"
